Model,GDT_TS,GDT_HA,Z_GDT_TS,Z_GDT_HA,LLG_Original_deltaLLG,LLG_B_from_rms_deltaLLG,LLG_const_B_deltaLLG,Z_LLG_Original_deltaLLG,Z_LLG_B_from_rms_deltaLLG,Z_LLG_const_B_deltaLLG
R1030-D2TS003_1,60.08,40.34,0.0,0.0,39.7142941132098,40.89311665167395,40.99821580132527,0.5028715180394403,0.481532142826549,0.5268219512989527
R1030-D2TS013_1,74.16,55.88,1.3297447142686736,1.4318883862366552,188.94561597015513,317.5810078032664,187.4229231856824,5.084346333343749,7.535335209376511,5.043618794732885
R1030-D2TS013_2,75.42,59.24,1.4610460317640293,1.789260657382247,237.8163922806117,379.3104675420726,233.89355077686253,6.584703149088907,9.109048647249729,6.477109001172322
R1030-D2TS013_3,76.26,58.62,1.5485802434275997,1.7233169644922859,258.7753853687575,476.31044510460094,254.0414808046953,7.22815452238389,11.581938719663373,7.098616862632901
R1030-D2TS013_4,74.58,56.93,1.3735118201004588,1.543567220969652,219.84245564760863,436.64482368490997,216.90919296410527,6.032894473863756,10.570714553537751,5.953188584141596
R1030-D2TS013_5,65.55,46.43,0.4325190447170797,0.4267788736396764,56.1951296896608,84.04471583283862,56.980445289875206,1.0088412580988553,1.5816268429009663,1.0198294839377449
R1030-D2TS018_1,57.14,36.98,0.0,0.0,32.039685652360504,38.42488676970959,32.98525715060225,0.26725727202741245,0.4186077862965713,0.2796443609408726
R1030-D2TS018_2,56.51,36.14,0.0,0.0,18.270313412409678,25.639034394846817,19.816022285006397,-0.15546921296853222,0.09264887166937064,-0.12659007540479375
R1030-D2TS018_3,61.98,41.18,0.060498645146906574,0.0,24.67179914649944,27.2858464106547,25.820566674549696,0.04105954055531857,0.13463223277270348,0.058633495326039946
R1030-D2TS018_4,57.35,37.82,0.0,0.0,27.224004492359427,29.078994920414175,15.239166854705218,0.11941349715131697,0.18034625518357575,-0.2677733943249608
R1030-D2TS018_5,62.4,42.02,0.1042657509786918,0.0,31.601305191608162,31.88940930033823,32.54426254640828,0.2537987767499689,0.2519941668029647,0.26604089830279365
