Model               ,reLLG_as_rmsd       ,reLLG_as_bfactor    ,reLLG_bfactor_constant,aeLLG_as_rmsd       ,aeLLG_as_bfactor    ,aeLLG_bfactor_constant,status_as_rmsd      ,status_as_bfactor   ,status_bfactor_constant
R1034TS003_1.pdb    ,0.01687660339       ,0.01689684793       ,0.01689572747       ,0.04938715364       ,0.04960963129       ,0.04960140979       ,0                   ,0                   ,0                   
R1034TS013_1.pdb    ,0.1110987928        ,0.07657270108       ,0.07518785308       ,0.1768259176        ,0.1379521181        ,0.1362207081        ,0                   ,0                   ,0                   
R1034TS013_2.pdb    ,0.1294808054        ,0.08294304832       ,0.0808979035        ,0.1986706886        ,0.1472832934        ,0.1448462195        ,0                   ,0                   ,0                   
R1034TS013_3.pdb    ,0.1061699761        ,0.06384928967       ,0.06203675672       ,0.1738096185        ,0.1258486143        ,0.1234693451        ,0                   ,0                   ,0                   
R1034TS013_4.pdb    ,0.09350220835       ,0.06516911348       ,0.06389204429       ,0.1575464448        ,0.1246930845        ,0.1230511197        ,0                   ,0                   ,0                   
R1034TS013_5.pdb    ,0.09726154748       ,0.06026852514       ,0.05900064579       ,0.1636364465        ,0.1203167307        ,0.1186004743        ,0                   ,0                   ,0                   
R1034TS018_1.pdb    ,0.02186491509       ,0.01509273947       ,0.01484120478       ,0.05704970557       ,0.04456024178       ,0.04392180013       ,0                   ,0                   ,0                   
R1034TS018_2.pdb    ,0.01365749985       ,0.008927284563      ,0.008771220862      ,0.04964443597       ,0.03658926391       ,0.03601092922       ,0                   ,0                   ,0                   
R1034TS018_3.pdb    ,0.01780181751       ,0.01325848461       ,0.01309771183       ,0.04943460497       ,0.04053007775       ,0.0401120952        ,0                   ,0                   ,0                   
R1034TS018_4.pdb    ,0.0109802165        ,0.007608587451      ,0.007488504504      ,0.03601346089       ,0.02974230649       ,0.02930921438       ,0                   ,0                   ,0                   
R1034TS018_5.pdb    ,0.009365042555      ,0.00709060265       ,0.007014576093      ,0.03993407029       ,0.03306141879       ,0.03275665876       ,0                   ,0                   ,0                   
R1034TS070_1.pdb    ,0.09423046803       ,0.06855666869       ,0.06731661833       ,0.1576695487        ,0.1282412851        ,0.126603943         ,0                   ,0                   ,0                   
R1034TS070_2.pdb    ,0.09214985756       ,0.06401906161       ,0.06262416577       ,0.1554883803        ,0.1231832765        ,0.1213090235        ,0                   ,0                   ,0                   
R1034TS070_3.pdb    ,0.09174481172       ,0.06711894188       ,0.06589178258       ,0.1546271886        ,0.1262424167        ,0.1246144299        ,0                   ,0                   ,0                   
R1034TS070_4.pdb    ,0.08233052191       ,0.05696506092       ,0.05607628087       ,0.1466650681        ,0.1162111522        ,0.114938159         ,0                   ,0                   ,0                   
R1034TS070_5.pdb    ,0.09527729927       ,0.06817752721       ,0.06684453255       ,0.1597466338        ,0.1288043164        ,0.1270652895        ,0                   ,0                   ,0                   
R1034TS071_1.pdb    ,0.05457242924       ,0.04399965987       ,0.04342378895       ,0.1072442451        ,0.0950930758        ,0.0941794916        ,0                   ,0                   ,0                   
R1034TS071_2.pdb    ,0.02938624637       ,0.02209548116       ,0.02184136511       ,0.07196238395       ,0.05900246195       ,0.05842224627       ,0                   ,0                   ,0                   
R1034TS071_3.pdb    ,0.04077841256       ,0.03031987488       ,0.02984418798       ,0.09160001516       ,0.07655806638       ,0.07563558344       ,0                   ,0                   ,0                   
R1034TS071_4.pdb    ,0.04057608519       ,0.03347555026       ,0.0331284741        ,0.09052292257       ,0.08070532376       ,0.0800614857        ,0                   ,0                   ,0                   
R1034TS071_5.pdb    ,0.05284999638       ,0.04261004305       ,0.04204523577       ,0.1062004239        ,0.09431922502       ,0.09342177574       ,0                   ,0                   ,0                   
R1034TS075_1.pdb    ,0.05341894218       ,0.05250893801       ,0.05249848359       ,0.1094438868        ,0.1081925365        ,0.1081775159        ,0                   ,0                   ,0                   
R1034TS075_2.pdb    ,0.05307008443       ,0.0526377359        ,0.05263416536       ,0.1090314871        ,0.1084804854        ,0.1085010128        ,0                   ,0                   ,0                   
R1034TS075_3.pdb    ,0.05387168816       ,0.05349407631       ,0.05349133048       ,0.1100903131        ,0.109582705         ,0.109575823         ,0                   ,0                   ,0                   
R1034TS075_4.pdb    ,0.05517128369       ,0.0546976427        ,0.05469231814       ,0.1119505258        ,0.1113453807        ,0.1113213463        ,0                   ,0                   ,0                   
R1034TS075_5.pdb    ,0.05714814898       ,0.05616095266       ,0.05615321866       ,0.1146212256        ,0.1133180268        ,0.1133096668        ,0                   ,0                   ,0                   
R1034TS081_1.pdb    ,0.003505064253      ,0.03763210451       ,0.03587078886       ,0.01394042543       ,0.08856865461       ,0.08556699077       ,0                   ,0                   ,0                   
R1034TS081_2.pdb    ,0.006172331055      ,0.03914182492       ,0.03856170996       ,0.02508134821       ,0.09164362515       ,0.09088690985       ,0                   ,0                   ,0                   
R1034TS081_3.pdb    ,0.004572286871      ,0.04029651485       ,0.04049429091       ,0.01885981009       ,0.09183200333       ,0.09216560249       ,0                   ,0                   ,0                   
R1034TS081_4.pdb    ,0.00903221217       ,0.04271550192       ,0.04135155008       ,0.03128550775       ,0.09523009263       ,0.09317192316       ,0                   ,0                   ,0                   
R1034TS081_5.pdb    ,0.01209699879       ,0.03599453112       ,0.03497665979       ,0.04218860475       ,0.08688315838       ,0.08492890739       ,0                   ,0                   ,0                   
R1034TS100_1.pdb    ,0.05778651362       ,0.05778727893       ,0.05778552052       ,0.1158577885        ,0.1158645051        ,0.1158633222        ,0                   ,0                   ,0                   
R1034TS100_2.pdb    ,0.05706626105       ,0.05706712901       ,0.05706632592       ,0.1150571527        ,0.1150521471        ,0.1150571907        ,0                   ,0                   ,0                   
R1034TS100_3.pdb    ,0.05818472949       ,0.05818652199       ,0.05818483308       ,0.1168962748        ,0.116901912         ,0.1168962877        ,0                   ,0                   ,0                   
R1034TS100_4.pdb    ,0.06123547661       ,0.06123677359       ,0.06123550243       ,0.122529081         ,0.12253297          ,0.1225293919        ,0                   ,0                   ,0                   
R1034TS100_5.pdb    ,0.05571781263       ,0.05571687557       ,0.055717769         ,0.1129211637        ,0.1129207233        ,0.1129211411        ,0                   ,0                   ,0                   
R1034TS131_1.pdb    ,0.0254032567        ,0.02067100789       ,0.02040894887       ,0.06586451541       ,0.05693008205       ,0.05629411966       ,0                   ,0                   ,0                   
R1034TS131_2.pdb    ,0.008153149894      ,0.004998943232      ,0.004895431173      ,0.04052629915       ,0.03020522291       ,0.0297832592        ,0                   ,0                   ,0                   
R1034TS131_3.pdb    ,0.02038111248       ,0.01306895258       ,0.01276234939       ,0.06472045761       ,0.05117514891       ,0.05048990182       ,0                   ,0                   ,0                   
R1034TS131_4.pdb    ,0.008348210829      ,0.004334454766      ,0.00423158975       ,0.03923120703       ,0.02520707338       ,0.0246847819        ,0                   ,0                   ,0                   
R1034TS131_5.pdb    ,0.03295783209       ,0.01593197271       ,0.01522189457       ,0.0868443248        ,0.05933149636       ,0.057915519         ,0                   ,0                   ,0                   
R1034TS149_1.pdb    ,0.08075278122       ,0.06969502965       ,0.06926752713       ,0.1452431883        ,0.1316463927        ,0.1310905179        ,0                   ,0                   ,0                   
R1034TS149_2.pdb    ,0.06980700709       ,0.06172379544       ,0.06140131613       ,0.1322517581        ,0.1217837431        ,0.1213507756        ,0                   ,0                   ,0                   
R1034TS149_3.pdb    ,0.07612841615       ,0.06448399392       ,0.06403622122       ,0.139384526         ,0.1243853063        ,0.1237742864        ,0                   ,0                   ,0                   
R1034TS149_4.pdb    ,0.06940403824       ,0.06149021584       ,0.06116847475       ,0.1305641159        ,0.1200726478        ,0.1196117655        ,0                   ,0                   ,0                   
R1034TS149_5.pdb    ,0.08758287524       ,0.07761077386       ,0.07720254813       ,0.1528996104        ,0.1406945978        ,0.1401772755        ,0                   ,0                   ,0                   
R1034TS192_1.pdb    ,0.0007829749504     ,0.01023248735       ,0.008538154999      ,0.009030972896      ,0.03840507374       ,0.03314745146       ,0                   ,0                   ,0                   
R1034TS192_2.pdb    ,0.01099211614       ,0.04821791257       ,0.04022763654       ,0.03801862979       ,0.1047150354        ,0.09335964954       ,0                   ,0                   ,0                   
R1034TS192_3.pdb    ,0.001889868947      ,0.01599576411       ,0.01423636798       ,0.01504115571       ,0.0468287046        ,0.04252731303       ,0                   ,0                   ,0                   
R1034TS192_4.pdb    ,0.0001470736694     ,0.007464893654      ,0.006374082458      ,0.003608638643      ,0.03194026447       ,0.02797630133       ,0                   ,0                   ,0                   
R1034TS192_5.pdb    ,0.002778509235      ,0.02083636501       ,0.01877699506       ,0.01721226807       ,0.05787386056       ,0.05327800633       ,0                   ,0                   ,0                   
R1034TS193_1.pdb    ,0.09870788688       ,0.06966927022       ,0.06819626442       ,0.1626718016        ,0.1295887414        ,0.127631345         ,0                   ,0                   ,0                   
R1034TS193_2.pdb    ,0.06901207907       ,0.04439656894       ,0.04356571135       ,0.1320605382        ,0.1014185575        ,0.100177393         ,0                   ,0                   ,0                   
R1034TS193_3.pdb    ,0.07615510164       ,0.05158084869       ,0.05073489991       ,0.1405669887        ,0.1108237788        ,0.1096217367        ,0                   ,0                   ,0                   
R1034TS193_4.pdb    ,0.08333538733       ,0.05631506669       ,0.05505794065       ,0.1479106252        ,0.1167884495        ,0.1151248952        ,0                   ,0                   ,0                   
R1034TS193_5.pdb    ,0.08779677535       ,0.05699876558       ,0.05547998937       ,0.1527626497        ,0.1168370243        ,0.1147393642        ,0                   ,0                   ,0                   
R1034TS220_1.pdb    ,0.0982062346        ,0.05685019567       ,0.05398180808       ,0.16146782          ,0.1149132639        ,0.1109334303        ,0                   ,0                   ,0                   
R1034TS220_2.pdb    ,0.1058421131        ,0.06072342668       ,0.05759702817       ,0.1704467177        ,0.1205536707        ,0.1163601969        ,0                   ,0                   ,0                   
R1034TS220_3.pdb    ,0.1066777584        ,0.06115666623       ,0.05797779108       ,0.1713036012        ,0.1210916549        ,0.1168867145        ,0                   ,0                   ,0                   
R1034TS220_4.pdb    ,0.1038712248        ,0.05971782953       ,0.05668752518       ,0.1681685484        ,0.1190705693        ,0.1149950435        ,0                   ,0                   ,0                   
R1034TS220_5.pdb    ,0.1064688298        ,0.06098066371       ,0.05780266993       ,0.1710662715        ,0.120907251         ,0.1166417396        ,0                   ,0                   ,0                   
R1034TS233_1.pdb    ,0.07089398804       ,0.0708945979        ,0.07089430185       ,0.1314025662        ,0.1314028918        ,0.1314032198        ,0                   ,0                   ,0                   
R1034TS233_2.pdb    ,0.0520363126        ,0.05203569035       ,0.05203610362       ,0.1084520495        ,0.1084683969        ,0.1084519575        ,0                   ,0                   ,0                   
R1034TS233_3.pdb    ,0.05412711596       ,0.05412774799       ,0.05412715117       ,0.112225544         ,0.1122245992        ,0.1122254905        ,0                   ,0                   ,0                   
R1034TS233_4.pdb    ,0.05553373267       ,0.0555341771        ,0.05553378031       ,0.1105099101        ,0.1105196985        ,0.1105100448        ,0                   ,0                   ,0                   
R1034TS233_5.pdb    ,0.05668217533       ,0.05668500033       ,0.05668279691       ,0.1132856173        ,0.113289317         ,0.1132858807        ,0                   ,0                   ,0                   
