Model               ,reLLG_as_rmsd       ,reLLG_as_bfactor    ,reLLG_bfactor_constant,aeLLG_as_rmsd       ,aeLLG_as_bfactor    ,aeLLG_bfactor_constant,status_as_rmsd      ,status_as_bfactor   ,status_bfactor_constant
R1065s2TS003_1.pdb  ,0.01315108775       ,0.01356128745       ,0.01357027463       ,0.04917226542       ,0.05036941036       ,0.05038330618       ,0                   ,0                   ,0                   
R1065s2TS013_1.pdb  ,0.1465954654        ,0.1037302768        ,0.1008880147        ,0.2160119141        ,0.1735459041        ,0.170540799         ,0                   ,0                   ,0                   
R1065s2TS013_2.pdb  ,0.1458371967        ,0.1012963995        ,0.09958311035       ,0.2165998281        ,0.1699604004        ,0.1679786182        ,0                   ,0                   ,0                   
R1065s2TS013_3.pdb  ,0.1074026487        ,0.08345844874       ,0.0818044881        ,0.1763430191        ,0.1502285737        ,0.1481630807        ,0                   ,0                   ,0                   
R1065s2TS013_4.pdb  ,0.06893797204       ,0.04370373454       ,0.04284220261       ,0.1333586521        ,0.09866311173       ,0.09713583331       ,0                   ,0                   ,0                   
R1065s2TS013_5.pdb  ,0.1043241293        ,0.06546501958       ,0.06381161491       ,0.1746722215        ,0.1310306285        ,0.1289050608        ,0                   ,0                   ,0                   
R1065s2TS018_1.pdb  ,0.04673397822       ,0.03549659116       ,0.03496684046       ,0.1041505437        ,0.08846513774       ,0.08768314375       ,0                   ,0                   ,0                   
R1065s2TS018_2.pdb  ,0.04317057638       ,0.03310127007       ,0.03258405647       ,0.1016889476        ,0.08744077247       ,0.0866136014        ,0                   ,0                   ,0                   
R1065s2TS018_3.pdb  ,0.05315740668       ,0.04102251177       ,0.0403977442        ,0.1135328019        ,0.09779878374       ,0.09682957812       ,0                   ,0                   ,0                   
R1065s2TS018_4.pdb  ,0.04050635322       ,0.03147129295       ,0.03102466921       ,0.09644001712       ,0.08235372738       ,0.08154959051       ,0                   ,0                   ,0                   
R1065s2TS018_5.pdb  ,0.04910542852       ,0.03716729694       ,0.03656591409       ,0.1088268992        ,0.09259034013       ,0.09165503675       ,0                   ,0                   ,0                   
R1065s2TS070_1.pdb  ,0.05150395208       ,0.03667155769       ,0.03611948848       ,0.1147947585        ,0.09511461964       ,0.09427432638       ,0                   ,0                   ,0                   
R1065s2TS070_2.pdb  ,0.0594473494        ,0.04320698201       ,0.04244501522       ,0.1243975012        ,0.1045427261        ,0.1035043912        ,0                   ,0                   ,0                   
R1065s2TS070_3.pdb  ,0.04381247926       ,0.02945407931       ,0.0289091327        ,0.1046312968        ,0.08423438815       ,0.08332567486       ,0                   ,0                   ,0                   
R1065s2TS070_4.pdb  ,0.05002776662       ,0.03652358517       ,0.03604122847       ,0.1126269841        ,0.09433556085       ,0.09359261497       ,0                   ,0                   ,0                   
R1065s2TS070_5.pdb  ,0.05795141076       ,0.04143926725       ,0.04079423897       ,0.1226139687        ,0.10037604          ,0.09935160848       ,0                   ,0                   ,0                   
R1065s2TS071_1.pdb  ,0.08109117473       ,0.06877904141       ,0.06672946743       ,0.1439075343        ,0.1331711976        ,0.1306398067        ,0                   ,0                   ,0                   
R1065s2TS071_2.pdb  ,0.0775836653        ,0.08273937754       ,0.08058229341       ,0.1369355533        ,0.1495550969        ,0.1469997466        ,0                   ,0                   ,0                   
R1065s2TS071_3.pdb  ,0.04983128767       ,0.03951532791       ,0.03839635958       ,0.1063047166        ,0.0952964834        ,0.0936198783        ,0                   ,0                   ,0                   
R1065s2TS071_4.pdb  ,0.05595012741       ,0.04709312401       ,0.045718256         ,0.1128468832        ,0.1056462005        ,0.1036931077        ,0                   ,0                   ,0                   
R1065s2TS071_5.pdb  ,0.08140548242       ,0.07011305552       ,0.06810431501       ,0.1448433033        ,0.1351953299        ,0.1327255703        ,0                   ,0                   ,0                   
R1065s2TS075_1.pdb  ,0.06152006342       ,0.06098231455       ,0.06097662038       ,0.1224899539        ,0.1218744474        ,0.1218547581        ,0                   ,0                   ,0                   
R1065s2TS075_2.pdb  ,0.06092812932       ,0.06076050259       ,0.06076664506       ,0.1217924216        ,0.121598802         ,0.1216024107        ,0                   ,0                   ,0                   
R1065s2TS075_3.pdb  ,0.06137517037       ,0.06134268535       ,0.06134018928       ,0.1223599828        ,0.1223383584        ,0.1223399291        ,0                   ,0                   ,0                   
R1065s2TS075_4.pdb  ,0.06184269203       ,0.06178396046       ,0.06178260322       ,0.1230857516        ,0.1230329628        ,0.1230285159        ,0                   ,0                   ,0                   
R1065s2TS075_5.pdb  ,0.0620923774        ,0.06146489753       ,0.061460908         ,0.1232052384        ,0.1224864938        ,0.1225108312        ,0                   ,0                   ,0                   
R1065s2TS081_1.pdb  ,0.00740181957       ,0.03313985104       ,0.03113123602       ,0.03180718936       ,0.08468176231       ,0.08105081264       ,0                   ,0                   ,0                   
R1065s2TS081_2.pdb  ,0.00272128673       ,0.02924601805       ,0.02978400941       ,0.01571906149       ,0.0782139233        ,0.07933587587       ,0                   ,0                   ,0                   
R1065s2TS081_3.pdb  ,0.005674583296      ,0.02416972078       ,0.0242770725        ,0.02904632467       ,0.06698081847       ,0.06759094056       ,0                   ,0                   ,0                   
R1065s2TS081_4.pdb  ,0.01060780189       ,0.02869234291       ,0.02873124944       ,0.04182096427       ,0.07526324939       ,0.07543743159       ,0                   ,0                   ,0                   
R1065s2TS081_5.pdb  ,0.004999444048      ,0.02347237369       ,0.0236289655        ,0.0248929064        ,0.06906939053       ,0.06954803208       ,0                   ,0                   ,0                   
R1065s2TS100_1.pdb  ,0.06489236437       ,0.06489530385       ,0.06489291558       ,0.1278067359        ,0.1278029245        ,0.1277956472        ,0                   ,0                   ,0                   
R1065s2TS100_2.pdb  ,0.0678102203        ,0.0678078279        ,0.06781007765       ,0.1319037412        ,0.1319039432        ,0.1319036781        ,0                   ,0                   ,0                   
R1065s2TS100_3.pdb  ,0.06675143464       ,0.06675010282       ,0.06675220638       ,0.1305699572        ,0.130558123         ,0.1305504763        ,0                   ,0                   ,0                   
R1065s2TS100_4.pdb  ,0.05064567447       ,0.05064641753       ,0.05064826006       ,0.1100574046        ,0.1100600101        ,0.1100476588        ,0                   ,0                   ,0                   
R1065s2TS100_5.pdb  ,0.04899974772       ,0.0489976885        ,0.0489996429        ,0.1085277777        ,0.108524532         ,0.1085280967        ,0                   ,0                   ,0                   
R1065s2TS131_1.pdb  ,0.01622970238       ,0.007124219994      ,0.006775905896      ,0.0589423373        ,0.03611570161       ,0.03483650343       ,0                   ,0                   ,0                   
R1065s2TS131_2.pdb  ,0.01163716911       ,0.005698098384      ,0.005427669035      ,0.05116353268       ,0.03528209834       ,0.0343186375        ,0                   ,0                   ,0                   
R1065s2TS131_3.pdb  ,0.009316356988      ,0.001514957207      ,0.001418515085      ,0.03931242383       ,0.01390175037       ,0.0134253278        ,0                   ,0                   ,0                   
R1065s2TS131_4.pdb  ,0.00153536527       ,0.0004577686676     ,0.0004557852927     ,0.01546831667       ,0.005893539326      ,0.005864926952      ,0                   ,0                   ,0                   
R1065s2TS131_5.pdb  ,0.002076598907      ,0.0005883735776     ,0.0005479763709     ,0.01837841006       ,0.009166234963      ,0.00854187283       ,0                   ,0                   ,0                   
R1065s2TS149_1.pdb  ,0.081590157         ,0.07527743092       ,0.07485880268       ,0.1477614461        ,0.1401379692        ,0.1396223733        ,0                   ,0                   ,0                   
R1065s2TS149_2.pdb  ,0.08220573875       ,0.07635801216       ,0.07601994654       ,0.1488404968        ,0.1419781151        ,0.1415781185        ,0                   ,0                   ,0                   
R1065s2TS149_3.pdb  ,0.08162992231       ,0.07543179373       ,0.07502350611       ,0.1477994825        ,0.1402947275        ,0.139817473         ,0                   ,0                   ,0                   
R1065s2TS149_4.pdb  ,0.07614587433       ,0.0706827278        ,0.07036603448       ,0.1401524354        ,0.1336820128        ,0.1332436021        ,0                   ,0                   ,0                   
R1065s2TS149_5.pdb  ,0.07972525828       ,0.07369822296       ,0.07332827728       ,0.1457742868        ,0.1385063256        ,0.1380548057        ,0                   ,0                   ,0                   
R1065s2TS192_1.pdb  ,0.01227280069       ,0.03827045614       ,0.03461069967       ,0.04592336119       ,0.08993999902       ,0.08365398709       ,0                   ,0                   ,0                   
R1065s2TS192_2.pdb  ,0.001235346103      ,0.007441734809      ,0.006502674749      ,0.0116147418        ,0.03295839572       ,0.0296502913        ,0                   ,0                   ,0                   
R1065s2TS192_3.pdb  ,0.003258067343      ,0.02463014919       ,0.02066230917       ,0.02095955745       ,0.07371215682       ,0.06603502945       ,0                   ,0                   ,0                   
R1065s2TS192_4.pdb  ,0.002704324467      ,0.02789996194       ,0.02220837651       ,0.01545030557       ,0.07874797369       ,0.06825588981       ,0                   ,0                   ,0                   
R1065s2TS192_5.pdb  ,0.009682703471      ,0.04461502022       ,0.03870984624       ,0.04253485319       ,0.1031933304        ,0.09443589824       ,0                   ,0                   ,0                   
R1065s2TS193_1.pdb  ,0.06134478983       ,0.03360405951       ,0.03252883844       ,0.1260846813        ,0.09022553099       ,0.08852101346       ,0                   ,0                   ,0                   
R1065s2TS193_2.pdb  ,0.04869313328       ,0.034570029         ,0.03409475583       ,0.1108191906        ,0.09131988332       ,0.09055380704       ,0                   ,0                   ,0                   
R1065s2TS193_3.pdb  ,0.05861993372       ,0.03712613766       ,0.03638409823       ,0.12040444          ,0.09194799249       ,0.09081200482       ,0                   ,0                   ,0                   
R1065s2TS193_4.pdb  ,0.05507907169       ,0.03579114154       ,0.03501238444       ,0.1180249975        ,0.09181449532       ,0.09053012209       ,0                   ,0                   ,0                   
R1065s2TS193_5.pdb  ,0.05144729686       ,0.02969244168       ,0.02874146448       ,0.1123891518        ,0.08202359248       ,0.08038005704       ,0                   ,0                   ,0                   
R1065s2TS220_1.pdb  ,0.02363272339       ,0.05437466968       ,0.05001763156       ,0.07170309715       ,0.1165036108        ,0.1106839859        ,0                   ,0                   ,0                   
R1065s2TS220_2.pdb  ,0.02371853155       ,0.05417792184       ,0.04997435327       ,0.07179981183       ,0.1162182108        ,0.1105638956        ,0                   ,0                   ,0                   
