Model               ,reLLG_as_rmsd       ,reLLG_as_bfactor    ,reLLG_bfactor_constant,aeLLG_as_rmsd       ,aeLLG_as_bfactor    ,aeLLG_bfactor_constant,status_as_rmsd      ,status_as_bfactor   ,status_bfactor_constant
R1040v1TS003_1.pdb  ,0.000145993395      ,0.0001305648216     ,0.0001463073654     ,0.00401275501       ,0.00401275501       ,0.00401275501       ,0                   ,0                   ,0                   
R1040v1TS013_1.pdb  ,0.003342584514      ,0.006760451468      ,0.006611908995      ,0.01079658591       ,0.03692216286       ,0.0364733152        ,0                   ,0                   ,0                   
R1040v1TS013_2.pdb  ,0.00319171595       ,0.003429335219      ,0.003419519553      ,0.01171768156       ,0.008992936262      ,0.00896355576       ,0                   ,0                   ,0                   
R1040v1TS013_3.pdb  ,0.002388883775      ,0.002676736499      ,0.002665526251      ,0.009494075873      ,0.01053123376       ,0.01048961134       ,0                   ,0                   ,0                   
R1040v1TS013_4.pdb  ,0.005121087558      ,0.00421042369       ,0.004178090595      ,0.01095705912       ,0.0245958756        ,0.02446014698       ,0                   ,0                   ,0                   
R1040v1TS013_5.pdb  ,0.002226006878      ,0.0006963726889     ,0.0006882878198     ,0.01059900988       ,0.006560993263      ,0.006486964376      ,0                   ,0                   ,0                   
R1040v1TS018_1.pdb  ,0.003518589226      ,0.002235131379      ,0.002207216175      ,0.01120293609       ,0.009543506614      ,0.00944903666       ,0                   ,0                   ,0                   
R1040v1TS018_2.pdb  ,0.002696797962      ,0.002314833713      ,0.002300202047      ,0.00929336824       ,0.008460487594      ,0.008342812214      ,0                   ,0                   ,0                   
R1040v1TS018_3.pdb  ,0.001483724228      ,0.002395712109      ,0.002367869091      ,0.008104903969      ,0.008285592753      ,0.008158861879      ,0                   ,0                   ,0                   
R1040v1TS018_4.pdb  ,0.001877864795      ,0.002123204987      ,0.002106132313      ,0.007198121357      ,0.008372910348      ,0.008288868868      ,0                   ,0                   ,0                   
R1040v1TS018_5.pdb  ,0.001806872555      ,0.001143677762      ,0.001128550123      ,0.008901203344      ,0.005842450379      ,0.005759055387      ,0                   ,0                   ,0                   
R1040v1TS070_1.pdb  ,0.005774784599      ,0.01285843278       ,0.01311265429       ,0.03253218112       ,0.05440754604       ,0.0549580798        ,0                   ,0                   ,0                   
R1040v1TS070_2.pdb  ,0.005443515272      ,0.01315528103       ,0.01346174412       ,0.03158661829       ,0.05476459743       ,0.05543970868       ,0                   ,0                   ,0                   
R1040v1TS070_3.pdb  ,0.00318202683       ,0.008828629437      ,0.009126122297      ,0.01200251177       ,0.04397713502       ,0.04479602852       ,0                   ,0                   ,0                   
R1040v1TS070_4.pdb  ,0.003169194569      ,0.007891694228      ,0.007931602368      ,0.01242987978       ,0.04003731946       ,0.04013704154       ,0                   ,0                   ,0                   
